country_name,country_code,year,births_per_1000,death_by_injury_percentage,deaths_per_1000,births_per_woman,gini_index,hospital_beds_per_1000,female_life_expectancy,male_life_expectancy,neonatal_deaths_per_1000,annual_population_growth_percentage,population_in_slums_percentage,prenatal_care_percentage
Chile,CHL,1964,33.06,,10.13,4.46,,,61.62,56.2,,1.97,,
Colombia,COL,1964,43.41,,10.44,6.48,,,60.51,57.03,35.2,3.01,,
Costa Rica,CRI,1964,41.38,,7.85,6.19,,,65.96,63.05,30.6,3.47,,
Cuba,CUB,1964,34.86,,8.25,4.53,,,67.44,63.39,,2.11,,
Dominica,DMA,1964,39.49,,10.85,6.03,,,64.97,61.29,,1.36,,
Dominican Republic,DOM,1964,48.1,,13.63,7.19,,,56.33,53.13,40.7,3.03,,
Ecuador,ECU,1964,43.06,,13.49,6.61,,,58.2,53.78,56.5,2.92,,
Grenada,GRD,1964,44.12,,8.23,5.91,,,65.93,62.09,,0.58,,
Guatemala,GTM,1964,46.52,,17.46,6.87,,,47.65,46.47,58.0,2.9,,
Guyana,GUY,1964,40.6,,10.48,6.23,,,61.52,56.64,36.8,2.15,,
Honduras,HND,1964,47.9,,16.41,7.44,,,51.81,48.65,,2.85,,
Haiti,HTI,1964,42.66,,19.99,6.16,,,46.95,42.88,87.2,1.78,,
Jamaica,JAM,1964,38.88,,8.8,5.79,,,67.04,63.51,30.0,1.41,,
St. Kitts and Nevis,KNA,1964,37.91,,12.96,6.08,,,61.51,56.31,,-2.11,,
St. Lucia,LCA,1964,42.04,,10.18,6.76,,,63.23,59.19,,1.03,,
Mexico,MEX,1964,46.75,,12.1,6.83,,,57.71,54.2,47.3,3.28,,
Nicaragua,NIC,1964,48.18,,16.23,7.06,,,51.15,48.04,,3.03,,
Panama,PAN,1964,40.83,,8.7,5.81,,,63.43,60.88,38.0,3.03,,
Peru,PER,1964,45.36,,15.47,6.81,,,54.92,51.75,52.0,2.89,,
Paraguay,PRY,1964,41.69,,10.01,6.42,,,63.67,59.09,,2.5,,
El Salvador,SLV,1964,46.8,,16.81,6.68,,,51.95,47.64,,2.71,,
Suriname,SUR,1964,42.0,,12.31,6.43,,,61.47,56.74,,3.96,,
Trinidad and Tobago,TTO,1964,35.35,,7.9,5.08,,,65.91,62.18,35.0,1.79,,
Uruguay,URY,1964,21.48,,9.67,2.86,,,71.46,65.12,,1.11,,
St. Vincent and the Grenadines,VCT,1964,46.07,,11.19,6.83,,,61.95,59.98,,1.38,,
Venezuela,VEN,1964,41.99,,8.46,6.07,,,63.08,59.39,,3.4,,
Argentina,ARG,1965,22.61,,8.83,3.0,,,68.82,61.78,,1.56,,
Antigua and Barbuda,ATG,1965,33.15,,7.67,4.42,,,68.58,63.41,,1.6,,
Bahamas,BHS,1965,35.87,,7.53,4.88,,,67.36,61.3,,4.44,,
Belize,BLZ,1965,39.99,,10.9,6.4,,,62.02,58.76,,2.98,,
Bolivia,BOL,1965,43.56,,21.01,6.18,,,47.26,42.96,,2.13,,
Brazil,BRA,1965,39.84,,11.97,5.68,,,57.71,52.96,48.9,2.82,,
Barbados,BRB,1965,31.38,,7.61,4.18,,,68.74,65.27,,1.02,,
Chile,CHL,1965,32.37,,9.8,4.36,,,62.33,56.82,,1.91,,
Colombia,COL,1965,42.43,,10.09,6.33,,,60.96,57.53,34.2,2.97,,
Costa Rica,CRI,1965,39.9,,7.62,5.96,,,66.22,63.32,30.5,3.35,,
Cuba,CUB,1965,34.4,,8.09,4.5,,,67.64,63.89,,2.07,,
Dominica,DMA,1965,38.42,,10.42,5.95,,,65.64,61.88,,1.46,,
Dominican Republic,DOM,1965,47.01,,14.1,7.05,,,56.79,49.42,40.5,2.94,,
Ecuador,ECU,1965,42.86,,13.09,6.56,,,58.84,54.29,55.2,2.95,,
Grenada,GRD,1965,42.41,,7.75,5.6,,,66.55,62.62,,0.31,,
Guatemala,GTM,1965,46.16,,17.26,6.84,,,47.93,46.47,57.1,2.89,,
Guyana,GUY,1965,39.89,,10.3,6.14,,,61.62,56.88,36.3,2.13,,
Honduras,HND,1965,47.68,,15.87,7.44,,,52.58,49.22,,2.87,,
Haiti,HTI,1965,42.31,,19.64,6.13,,,47.33,43.38,86.3,1.85,,
Jamaica,JAM,1965,37.78,,8.71,5.72,,,67.41,63.78,29.1,1.34,,
St. Kitts and Nevis,KNA,1965,36.69,,12.68,6.01,,,62.07,56.85,,-2.29,,
St. Lucia,LCA,1965,40.98,,9.76,6.69,,,63.76,59.82,,1.02,,
Mexico,MEX,1965,46.54,,11.61,6.82,,,58.66,54.81,47.1,3.3,,
Nicaragua,NIC,1965,47.87,,15.52,7.03,,,52.67,48.67,,3.06,,
Panama,PAN,1965,40.34,,8.55,5.73,,,63.73,61.06,37.2,3.01,,
Peru,PER,1965,44.89,,15.19,6.75,,,55.54,52.27,51.0,2.87,,
Paraguay,PRY,1965,41.03,,9.94,6.34,,,63.84,59.39,,2.48,,
El Salvador,SLV,1965,46.3,,16.5,6.64,,,52.44,48.07,,2.78,,
Suriname,SUR,1965,40.88,,11.92,6.32,,,61.83,56.85,,3.48,,
Trinidad and Tobago,TTO,1965,34.06,,7.84,4.88,,,66.22,62.3,34.4,1.68,,
Uruguay,URY,1965,21.16,,9.67,2.84,,,71.57,65.19,,1.05,,
St. Vincent and the Grenadines,VCT,1965,45.56,,10.75,6.74,,,62.61,60.4,,1.3,,
Venezuela,VEN,1965,41.26,,8.09,5.98,,,63.75,60.19,,3.36,,
Argentina,ARG,1966,22.31,,8.78,2.97,,,69.1,62.16,,1.53,,
Antigua and Barbuda,ATG,1966,31.76,,7.31,4.32,,,69.35,64.08,,1.54,,
Bahamas,BHS,1966,35.37,,7.35,4.79,,,67.63,61.67,,4.57,,
Belize,BLZ,1966,39.2,,10.55,6.38,,,62.55,59.25,,3.04,,
Bolivia,BOL,1966,43.46,,20.64,6.16,,,47.68,43.32,70.9,2.16,,
Brazil,BRA,1966,38.64,,11.64,5.52,,,58.1,53.33,48.7,2.73,,
Barbados,BRB,1966,31.25,,7.41,4.14,,,69.18,65.81,,1.06,,
Chile,CHL,1966,31.65,,9.36,4.26,,,63.22,57.72,,1.86,,
Colombia,COL,1966,41.33,,9.74,6.16,,,61.41,58.01,33.3,2.89,,
Costa Rica,CRI,1966,38.33,,7.35,5.7,,,66.59,63.62,30.2,3.22,,
Cuba,CUB,1966,33.4,,7.87,4.4,,,67.93,64.43,,2.01,,
Dominica,DMA,1966,37.24,,10.06,5.86,,,66.22,62.38,,1.57,,
Dominican Republic,DOM,1966,46.24,,12.55,6.95,,,57.69,54.39,40.4,2.92,,
Ecuador,ECU,1966,42.63,,12.74,6.51,,,59.35,54.77,53.8,2.97,,
Grenada,GRD,1966,40.6,,7.19,5.3,,,67.45,63.43,,0.06,,
Guatemala,GTM,1966,46.0,,16.98,6.8,,,48.47,46.62,56.1,2.85,,
Guyana,GUY,1966,39.2,,10.12,6.02,,,61.81,57.08,36.0,2.11,,
Honduras,HND,1966,47.33,,15.3,7.41,,,53.35,49.9,,2.89,,
Haiti,HTI,1966,42.0,,19.46,6.09,,,47.46,43.63,85.4,1.85,,
Jamaica,JAM,1966,37.01,,8.65,5.69,,,67.73,63.99,28.2,1.25,,
St. Kitts and Nevis,KNA,1966,34.54,,12.43,5.78,,,62.56,57.32,,-2.46,,
St. Lucia,LCA,1966,40.11,,9.36,6.61,,,64.33,60.47,,0.99,,
Mexico,MEX,1966,46.26,,11.17,6.79,,,59.36,55.45,47.2,3.31,,
Nicaragua,NIC,1966,47.59,,14.9,6.99,,,54.04,49.21,,3.09,,
Panama,PAN,1966,39.87,,8.39,5.65,,,64.01,61.37,36.2,2.98,,
Peru,PER,1966,44.4,,14.91,6.68,,,56.08,52.79,49.9,2.85,,
Paraguay,PRY,1966,40.15,,9.84,6.23,,,63.99,59.69,,2.44,,
El Salvador,SLV,1966,45.69,,16.17,6.56,,,52.88,48.55,,2.82,,
Suriname,SUR,1966,39.5,,11.59,6.2,,,62.08,56.82,,3.42,,
Trinidad and Tobago,TTO,1966,32.46,,7.82,4.62,,,66.38,62.37,33.7,1.55,,
Uruguay,URY,1966,20.85,,9.67,2.82,,,71.68,65.27,,0.98,,
St. Vincent and the Grenadines,VCT,1966,45.08,,10.38,6.64,,,63.14,60.84,,1.23,,
Venezuela,VEN,1966,40.51,,7.62,5.87,,,64.85,61.07,,3.32,,
Argentina,ARG,1967,22.44,,8.9,2.98,,,69.29,62.13,,1.53,,
Antigua and Barbuda,ATG,1967,30.12,,6.98,4.18,,,70.09,64.7,,1.53,,
Bahamas,BHS,1967,34.86,,7.12,4.69,,,68.08,62.12,,4.66,,
Belize,BLZ,1967,38.55,,10.17,6.36,,,63.12,59.83,,3.07,,
Bolivia,BOL,1967,43.4,,20.26,6.13,,,48.06,43.78,69.1,2.19,,
Brazil,BRA,1967,37.41,,11.32,5.34,,,58.5,53.71,48.4,2.64,,
Barbados,BRB,1967,27.38,,7.2,3.6,,,69.54,65.9,,0.85,,
Chile,CHL,1967,30.92,,9.06,4.14,,,63.95,58.35,,1.8,,
Colombia,COL,1967,40.16,,9.4,5.96,,,61.87,58.43,32.5,2.81,,
Costa Rica,CRI,1967,36.76,,7.05,5.42,,,67.13,64.0,29.6,3.09,,
Cuba,CUB,1967,32.47,,7.66,4.29,,,68.36,64.88,,1.92,,
Dominica,DMA,1967,35.96,,9.8,5.74,,,66.59,62.8,,1.66,,
Dominican Republic,DOM,1967,44.96,,12.01,6.76,,,58.42,55.03,40.4,2.94,,
Ecuador,ECU,1967,42.37,,12.41,6.44,,,59.86,55.19,52.3,2.98,,
Grenada,GRD,1967,38.92,,6.72,5.04,,,68.32,64.15,,-0.06,,
Guatemala,GTM,1967,45.63,,16.74,6.76,,,48.77,46.76,55.0,2.81,,
Guyana,GUY,1967,38.53,,9.95,5.89,,,61.97,57.31,35.6,2.08,,
Honduras,HND,1967,46.94,,14.73,7.36,,,54.09,50.64,,2.9,,
Haiti,HTI,1967,41.66,,19.02,6.05,,,48.02,44.22,84.4,1.85,,
Jamaica,JAM,1967,36.35,,8.66,5.67,,,67.89,64.15,27.4,1.19,,
St. Kitts and Nevis,KNA,1967,31.86,,12.3,5.46,,,62.92,57.68,,-2.63,,
St. Lucia,LCA,1967,40.39,,9.1,6.51,,,64.92,61.14,,1.05,,
Mexico,MEX,1967,45.91,,10.78,6.75,,,60.26,55.8,47.0,3.31,,
Nicaragua,NIC,1967,47.37,,14.4,6.94,,,55.25,49.59,,3.12,,
Panama,PAN,1967,39.23,,8.23,5.53,,,64.26,61.63,35.3,2.94,,
Peru,PER,1967,43.98,,14.64,6.6,,,56.62,53.25,48.9,2.83,,
Paraguay,PRY,1967,39.19,,9.73,6.1,,,64.11,59.96,31.1,2.38,,
El Salvador,SLV,1967,45.06,,15.99,6.49,,,53.09,48.7,,2.82,,
Suriname,SUR,1967,37.93,,11.36,6.04,,,62.15,56.67,,3.43,,
Trinidad and Tobago,TTO,1967,30.81,,7.81,4.35,,,66.62,62.42,33.2,1.42,,
Uruguay,URY,1967,20.47,,9.66,2.78,,,71.79,65.36,,0.91,,
St. Vincent and the Grenadines,VCT,1967,44.56,,10.07,6.53,,,63.62,61.24,,1.16,,
Venezuela,VEN,1967,39.75,,7.33,5.75,,,65.38,61.84,,3.27,,
Argentina,ARG,1968,22.69,,9.2,3.01,,,69.19,61.78,,1.53,,
Antigua and Barbuda,ATG,1968,28.48,,6.67,4.01,,,70.78,65.28,,1.56,,
Bahamas,BHS,1968,34.1,,6.92,4.56,,,68.44,62.52,,4.71,,
Belize,BLZ,1968,38.06,,9.81,6.34,,,63.71,60.3,35.9,3.05,,
Bolivia,BOL,1968,43.27,,19.88,6.1,,,48.49,44.23,67.2,2.22,,
Brazil,BRA,1968,36.34,,10.98,5.16,,,58.96,54.16,48.0,2.56,,
Barbados,BRB,1968,27.35,,7.1,3.57,,,69.77,66.28,31.1,0.58,,
Chile,CHL,1968,30.18,,8.79,4.03,,,64.62,58.93,34.1,1.76,,
Colombia,COL,1968,38.9,,9.08,5.74,,,62.34,58.81,31.9,2.72,,
Costa Rica,CRI,1968,34.62,,6.82,5.03,,,67.24,64.32,28.7,2.93,,
Cuba,CUB,1968,31.61,,7.46,4.19,,,68.77,65.32,22.7,1.86,,
Dominica,DMA,1968,34.6,,9.53,5.59,,,66.94,63.31,,1.73,,
Dominican Republic,DOM,1968,43.65,,11.49,6.55,,,59.09,55.61,40.3,2.89,,
Ecuador,ECU,1968,42.05,,12.08,6.35,,,60.33,55.65,50.8,2.99,,
Grenada,GRD,1968,37.42,,6.43,4.84,,,68.88,64.46,,0.01,,
Guatemala,GTM,1968,45.32,,16.61,6.7,,,49.01,46.61,53.9,2.76,,
Guyana,GUY,1968,37.95,,9.8,5.75,,,62.13,57.48,35.3,2.07,,
Honduras,HND,1968,46.62,,14.19,7.3,,,54.81,51.35,,2.91,,
Haiti,HTI,1968,41.4,,18.71,6.01,,,48.36,44.64,83.3,1.86,,
Jamaica,JAM,1968,35.4,,8.58,5.58,,,68.24,64.27,26.7,1.15,,
St. Kitts and Nevis,KNA,1968,29.41,,12.23,5.16,,,63.16,58.1,,-2.84,,
St. Lucia,LCA,1968,40.18,,8.84,6.39,,,65.41,61.84,,1.17,,
Mexico,MEX,1968,45.61,,10.54,6.71,,,60.42,56.14,46.4,3.28,,
Nicaragua,NIC,1968,47.18,,14.02,6.88,,,55.78,50.1,,3.14,,
Panama,PAN,1968,38.55,,8.02,5.41,,,64.59,62.0,34.3,2.9,,
Peru,PER,1968,43.44,,14.35,6.51,,,57.19,53.67,47.8,2.81,,
Paraguay,PRY,1968,38.35,,9.62,5.97,,,64.22,60.21,31.0,2.32,,
El Salvador,SLV,1968,44.29,,15.9,6.39,,,53.22,48.58,,2.78,,
Suriname,SUR,1968,36.35,,11.03,5.86,,,62.28,56.78,,3.42,,
Trinidad and Tobago,TTO,1968,29.34,,7.83,4.11,,,66.84,62.51,32.6,1.31,,
Uruguay,URY,1968,20.25,,9.68,2.77,,,71.91,65.45,,0.81,,
St. Vincent and the Grenadines,VCT,1968,43.92,,9.73,6.42,,,64.18,61.73,,1.07,,
Venezuela,VEN,1968,38.98,,7.11,5.61,,,65.83,62.12,,3.22,,
Argentina,ARG,1969,23.03,,9.45,3.05,,,69.13,61.55,,1.54,,
Antigua and Barbuda,ATG,1969,26.89,,6.41,3.83,,,71.4,65.83,,1.6,,
Bahamas,BHS,1969,33.07,,6.73,4.38,,,68.83,62.9,20.9,4.54,,
Belize,BLZ,1969,37.81,,9.46,6.32,,,64.27,60.82,35.1,2.86,,
Bolivia,BOL,1969,43.01,,19.54,6.06,,,48.77,44.67,65.1,2.24,,
Brazil,BRA,1969,35.68,,10.71,5.04,,,59.4,54.57,47.5,2.51,,
Barbados,BRB,1969,25.85,,6.97,3.34,,,70.12,66.56,29.7,0.36,,
Chile,CHL,1969,29.45,,8.51,3.9,,,65.3,59.57,30.9,1.73,,
Colombia,COL,1969,37.65,,8.74,5.51,,,62.87,59.19,31.4,2.62,,
Costa Rica,CRI,1969,33.78,,6.51,4.84,,,67.88,64.85,27.5,2.81,,
Cuba,CUB,1969,31.01,,7.29,4.12,,,69.22,65.7,21.7,1.83,,
Dominica,DMA,1969,33.26,,9.29,5.41,,,67.3,63.8,19.4,1.79,,
Dominican Republic,DOM,1969,42.68,,11.02,6.37,,,59.73,56.2,40.3,2.84,,
Ecuador,ECU,1969,41.67,,11.81,6.25,,,60.66,55.96,49.4,2.98,,
Grenada,GRD,1969,36.35,,6.33,4.69,,,69.09,64.34,,0.13,,
Guatemala,GTM,1969,45.12,,16.68,6.65,,,48.95,46.22,52.8,2.68,,
Guyana,GUY,1969,37.39,,9.67,5.58,,,62.27,57.62,35.1,2.06,,
Honduras,HND,1969,46.39,,13.7,7.23,,,55.46,52.04,,2.93,,
Haiti,HTI,1969,41.08,,18.41,5.96,,,48.7,45.05,82.1,1.86,,
Jamaica,JAM,1969,34.54,,8.53,5.47,,,68.49,64.41,25.9,1.16,,
St. Kitts and Nevis,KNA,1969,27.73,,12.26,4.97,,,63.43,58.42,,-3.26,,
St. Lucia,LCA,1969,39.53,,8.68,6.25,,,65.78,62.02,,1.19,,
Mexico,MEX,1969,45.1,,10.34,6.63,,,60.57,56.36,45.4,3.23,,
Nicaragua,NIC,1969,47.0,,13.68,6.82,,,56.28,50.56,,3.14,,
Panama,PAN,1969,37.89,,7.78,5.29,,,65.04,62.39,33.2,2.86,,
Peru,PER,1969,42.88,,14.07,6.42,,,57.65,54.07,46.6,2.79,,
Paraguay,PRY,1969,37.6,,9.5,5.84,,,64.32,60.45,30.9,2.28,,
El Salvador,SLV,1969,43.46,,15.54,6.28,,,53.72,48.97,,2.71,,
Suriname,SUR,1969,34.94,,10.74,5.7,,,62.39,56.88,,3.41,,
Trinidad and Tobago,TTO,1969,27.92,,7.88,3.86,,,67.03,62.56,32.1,1.2,,
Uruguay,URY,1969,20.13,,9.74,2.77,,,71.99,65.49,,0.7,,
St. Vincent and the Grenadines,VCT,1969,43.09,,9.43,6.28,,,64.67,62.17,,0.99,,
Venezuela,VEN,1969,38.21,,7.09,5.47,,,65.54,62.23,,3.15,,
Argentina,ARG,1970,23.36,,9.15,3.08,,5.59,69.56,62.16,24.8,1.56,,
Antigua and Barbuda,ATG,1970,25.54,,6.21,3.63,,6.53,71.97,66.32,,1.1,,
Bahamas,BHS,1970,32.11,,6.57,4.21,,5.09,69.22,63.3,21.0,3.86,,
Belize,BLZ,1970,37.97,,9.1,6.3,,5.4,64.85,61.33,34.3,2.26,,
Bolivia,BOL,1970,42.67,,19.16,6.0,,2.32,49.19,45.04,63.3,2.24,,
Brazil,BRA,1970,35.23,,10.46,4.93,,3.69,59.84,55.0,46.8,2.47,,
Barbados,BRB,1970,24.1,,6.97,3.08,,10.22,70.18,66.55,28.3,-0.02,,
Chile,CHL,1970,28.77,,8.41,3.78,,3.78,65.68,59.79,29.5,1.69,,
Colombia,COL,1970,36.47,,8.43,5.28,,2.1,63.39,59.54,30.8,2.53,,
Costa Rica,CRI,1970,32.59,,6.27,4.58,,3.94,68.4,65.19,26.1,2.74,,
Cuba,CUB,1970,29.9,,7.03,3.98,,4.63,69.65,66.39,20.6,1.8,,
Dominica,DMA,1970,31.92,,9.08,5.22,,4.44,67.83,64.28,18.5,1.42,,
Dominican Republic,DOM,1970,41.91,,10.58,6.18,,2.64,60.37,56.78,40.2,2.82,,
Ecuador,ECU,1970,41.22,,11.41,6.14,,2.35,61.28,56.51,47.9,2.97,,
Grenada,GRD,1970,34.68,,6.29,4.46,,7.25,69.11,64.08,,0.21,,
Guatemala,GTM,1970,44.88,,15.98,6.6,,2.17,50.07,47.1,51.6,2.63,,
Guyana,GUY,1970,36.96,,9.59,5.41,,4.76,62.41,57.74,34.9,1.79,,
Honduras,HND,1970,46.28,,13.24,7.17,,1.75,56.13,52.65,,2.97,,
Haiti,HTI,1970,40.84,,18.14,5.91,,0.78,49.03,45.45,80.6,1.87,,
Jamaica,JAM,1970,33.79,,8.47,5.35,,4.1,68.73,64.6,25.2,1.24,,
St. Kitts and Nevis,KNA,1970,25.84,,12.14,4.73,,5.95,63.74,58.69,,-2.49,,
St. Lucia,LCA,1970,38.47,,8.49,6.1,,5.05,66.13,62.2,,1.25,,
Mexico,MEX,1970,44.52,,10.01,6.53,,,60.84,57.01,44.0,3.16,,
Nicaragua,NIC,1970,46.85,,13.37,6.77,,2.28,56.79,50.98,,3.13,,
Panama,PAN,1970,37.36,,7.57,5.18,,2.97,65.54,62.72,31.9,2.83,,
Peru,PER,1970,42.37,,18.82,6.32,,2.17,48.35,47.12,45.9,2.51,,
Paraguay,PRY,1970,36.99,,9.39,5.72,,1.63,64.42,60.69,30.6,2.25,,
El Salvador,SLV,1970,42.79,,15.4,6.18,,1.9,53.97,48.92,,2.55,,
Suriname,SUR,1970,33.74,,10.49,5.53,,5.68,62.5,56.98,,3.36,,
Trinidad and Tobago,TTO,1970,27.23,,7.99,3.71,,4.94,67.19,62.62,31.6,1.09,,
Uruguay,URY,1970,20.06,,9.76,2.77,,5.91,72.15,65.63,22.7,0.6,,
St. Vincent and the Grenadines,VCT,1970,42.07,,9.13,6.12,,4.99,65.19,62.65,21.7,0.95,,
Venezuela,VEN,1970,37.46,,6.67,5.32,,,66.78,62.98,,3.1,,
Argentina,ARG,1971,23.57,,9.35,3.11,,,69.42,62.21,24.4,1.57,,
Antigua and Barbuda,ATG,1971,24.98,,6.13,3.46,,,72.49,66.79,16.1,0.31,,
Bahamas,BHS,1971,30.99,,6.42,4.06,,,69.58,63.68,21.0,3.13,,
Belize,BLZ,1971,38.58,,8.85,6.29,,,65.36,61.82,33.5,1.7,,
Bolivia,BOL,1971,42.39,,18.8,5.95,,,49.52,45.47,61.7,2.25,,
Brazil,BRA,1971,34.88,,10.24,4.84,,,60.29,55.44,45.9,2.45,,
Barbados,BRB,1971,25.12,,6.94,3.2,,,70.58,66.7,27.1,-0.09,,
Chile,CHL,1971,28.08,,8.24,3.65,,,66.23,60.12,29.3,1.66,,
Colombia,COL,1971,35.4,,8.1,5.06,,,64.01,60.01,30.3,2.41,,
Costa Rica,CRI,1971,31.58,,5.99,4.36,,,69.09,65.76,24.3,2.66,,
Cuba,CUB,1971,28.55,,6.82,3.8,,,70.12,66.9,20.1,1.74,,
Dominica,DMA,1971,30.98,,8.72,4.99,,,68.48,64.74,17.6,0.9,,
Dominican Republic,DOM,1971,41.21,,10.16,6.01,,,60.98,57.35,40.1,2.8,,
Ecuador,ECU,1971,40.7,,11.05,6.01,,,61.81,56.96,46.6,2.96,,
Grenada,GRD,1971,33.65,,6.23,4.31,,,69.2,64.05,,0.24,,
Guatemala,GTM,1971,44.68,,14.87,6.55,,,51.98,48.74,50.4,2.59,,
Guyana,GUY,1971,36.6,,9.55,5.26,,,62.53,57.84,34.6,1.41,,
Honduras,HND,1971,46.17,,12.8,7.11,,,56.79,53.3,,3.0,,
Haiti,HTI,1971,40.74,,17.89,5.88,,,49.33,45.85,79.0,1.88,,
Jamaica,JAM,1971,33.15,,8.35,5.21,,,69.02,64.83,24.6,1.35,,
St. Kitts and Nevis,KNA,1971,25.9,,11.98,4.51,,,64.26,58.92,,-0.9,,
St. Lucia,LCA,1971,37.41,,8.28,5.95,,,66.4,62.32,,1.35,,
Mexico,MEX,1971,43.85,,9.68,6.42,,,61.4,57.5,42.4,3.1,,
Nicaragua,NIC,1971,46.76,,13.1,6.71,,,57.22,51.35,,3.12,,
Panama,PAN,1971,36.75,,7.27,5.05,,,66.31,63.18,30.7,2.8,,
Peru,PER,1971,41.84,,13.55,6.21,,,58.28,54.8,44.0,2.46,,
Paraguay,PRY,1971,36.35,,9.27,5.59,,,64.53,60.92,30.4,2.26,,
El Salvador,SLV,1971,42.83,,14.96,6.13,,,54.47,49.04,,2.39,,
Suriname,SUR,1971,32.78,,10.29,5.36,,,62.6,57.07,,3.24,,
Trinidad and Tobago,TTO,1971,27.24,,7.89,3.61,,,67.34,62.6,31.0,1.11,,
Uruguay,URY,1971,19.95,,9.77,2.77,,,72.35,65.81,23.9,0.56,,
St. Vincent and the Grenadines,VCT,1971,40.94,,8.92,5.95,,,65.62,63.04,22.3,0.94,,
Venezuela,VEN,1971,36.74,,6.48,5.17,,,67.16,63.34,,3.05,,
Argentina,ARG,1972,23.82,,9.3,3.14,,,69.76,62.52,23.9,1.58,,
Antigua and Barbuda,ATG,1972,24.37,,6.12,3.29,,,72.96,67.22,15.0,-0.18,,
Bahamas,BHS,1972,29.69,,6.32,3.89,,,69.88,63.91,21.2,2.69,,
Belize,BLZ,1972,39.26,,8.67,6.28,,,65.83,62.32,32.9,1.51,,
Bolivia,BOL,1972,41.95,,18.45,5.88,,,49.74,45.93,60.3,2.25,,
Brazil,BRA,1972,34.54,,10.03,4.74,,,60.76,55.91,45.0,2.43,,
Barbados,BRB,1972,24.92,,6.87,3.15,,,70.93,67.06,26.0,0.2,,
Chile,CHL,1972,27.44,,7.96,3.53,,,66.93,60.7,28.9,1.63,,
Colombia,COL,1972,34.44,,7.8,4.86,,,64.6,60.47,29.7,2.32,,
Costa Rica,CRI,1972,30.7,,5.72,4.16,,,69.73,66.33,22.3,2.6,,
Cuba,CUB,1972,27.23,,6.67,3.61,,,70.6,67.46,20.1,1.6,,
Dominica,DMA,1972,29.63,,8.27,4.67,,,69.33,65.29,17.0,0.76,,
Dominican Republic,DOM,1972,40.58,,9.78,5.84,,,61.57,57.9,40.0,2.78,,
Ecuador,ECU,1972,40.14,,10.71,5.87,,,62.32,57.4,45.3,2.94,,
Grenada,GRD,1972,32.34,,6.24,4.18,,,69.46,64.4,,0.13,,
Guatemala,GTM,1972,44.44,,13.97,6.51,,,53.59,50.21,49.1,2.58,,
Guyana,GUY,1972,36.13,,9.49,5.08,,,62.62,57.88,34.4,1.25,,
Honduras,HND,1972,46.11,,12.35,7.06,,,57.5,53.94,38.3,3.04,,
Haiti,HTI,1972,40.71,,17.71,5.85,,,49.58,46.13,77.1,1.9,,
Jamaica,JAM,1972,32.57,,8.4,5.06,,,69.33,65.14,24.0,1.45,,
St. Kitts and Nevis,KNA,1972,25.92,,11.87,4.16,,,64.79,59.19,,-0.39,,
St. Lucia,LCA,1972,36.68,,8.11,5.81,,,66.66,62.36,19.7,1.37,,
Mexico,MEX,1972,43.04,,9.29,6.28,,,62.06,58.1,40.8,3.04,,
Nicaragua,NIC,1972,46.65,,16.77,6.65,,,49.76,46.18,,2.91,,
Panama,PAN,1972,35.96,,7.01,4.91,,,66.92,63.62,29.4,2.77,,
Peru,PER,1972,41.24,,13.31,6.09,,,58.74,55.33,42.8,2.65,,
Paraguay,PRY,1972,35.77,,9.12,5.46,,,64.63,61.15,30.1,2.32,,
El Salvador,SLV,1972,42.54,,14.57,6.03,,,55.15,49.01,,2.35,,
Suriname,SUR,1972,32.67,,10.29,5.18,,,62.7,57.17,,1.39,,
Trinidad and Tobago,TTO,1972,27.55,,7.73,3.55,,,67.55,62.88,30.5,1.22,,
Uruguay,URY,1972,19.99,,9.75,2.78,,,72.62,66.02,25.5,0.54,,
St. Vincent and the Grenadines,VCT,1972,39.79,,8.78,5.77,,,65.96,63.34,22.6,0.94,,
Venezuela,VEN,1972,36.13,,6.32,5.04,,,67.62,63.62,,3.01,,
Argentina,ARG,1973,24.12,,9.31,3.17,,,70.09,62.67,23.6,1.62,,
Antigua and Barbuda,ATG,1973,23.78,,6.13,3.13,,,73.37,67.64,14.1,-0.42,,
Bahamas,BHS,1973,28.43,,6.18,3.73,,,70.23,64.29,21.5,2.39,,
Belize,BLZ,1973,39.94,,8.52,6.28,,,66.36,62.72,32.1,1.41,,
Bolivia,BOL,1973,41.75,,18.06,5.85,,,50.2,46.38,59.0,2.25,,
Brazil,BRA,1973,34.22,,9.84,4.64,,,61.17,56.34,43.9,2.42,,
Barbados,BRB,1973,22.88,,6.91,2.86,,,71.07,66.9,25.0,0.27,,
Chile,CHL,1973,26.78,,7.67,3.41,,,67.68,61.36,27.6,1.62,,
Colombia,COL,1973,33.7,,7.55,4.68,,,65.17,60.84,29.1,2.29,,
Costa Rica,CRI,1973,30.07,,5.45,3.99,,,70.56,66.95,20.4,2.55,,
Cuba,CUB,1973,25.76,,6.59,3.4,,,71.07,67.8,19.8,1.43,,
Dominica,DMA,1973,27.73,,7.9,4.28,,,70.1,65.78,16.5,0.75,,
Dominican Republic,DOM,1973,40.02,,9.43,5.67,,,62.14,58.46,39.7,2.76,,
Ecuador,ECU,1973,39.52,,10.36,5.73,,,62.85,57.85,44.0,2.91,,
Grenada,GRD,1973,31.18,,6.21,4.05,,,69.8,64.93,,-0.07,,
Guatemala,GTM,1973,44.2,,13.35,6.49,,,54.61,51.24,47.7,2.58,,
